date,ticker,mom_1m,mom_3m,momentum_score
2026-04-24,DIS,0.069307,-0.075509,0.154141
2026-04-24,SBUX,0.064401,0.017274,0.452934
2026-04-24,TSLA,-0.025003,-0.162027,-0.460695
2026-04-27,NKE,-0.13309,-0.300821,-1.421937
2026-04-27,TGT,0.108718,0.260478,1.312452
2026-04-27,DIS,0.080211,-0.080496,0.054458
2026-04-27,SBUX,0.07312,0.022748,0.381834
2026-04-27,TSLA,0.017629,-0.129894,-0.326808
2026-04-28,NKE,-0.123418,-0.28152,-1.503034
2026-04-28,TGT,0.060915,0.233747,1.145609
2026-04-28,DIS,0.097923,-0.082633,0.087925
2026-04-28,SBUX,0.120608,0.022852,0.573168
2026-04-28,TSLA,0.039217,-0.127361,-0.303669
2026-04-29,NKE,-0.133685,-0.282059,-1.417209
2026-04-29,TGT,0.076528,0.269614,0.978562
2026-04-29,DIS,0.074003,-0.075392,-0.114258
2026-04-29,SBUX,0.216559,0.115809,0.93525
2026-04-29,TSLA,0.049313,-0.135957,-0.382345
2026-04-30,NKE,-0.160167,-0.28667,-1.490039
2026-04-30,TGT,0.070545,0.2745,0.982272
2026-04-30,DIS,0.076468,-0.070174,-0.075332
2026-04-30,SBUX,0.175689,0.1292,0.856903
2026-04-30,TSLA,0.026577,-0.083853,-0.273804
2026-05-01,NKE,-0.005153,-0.276902,-1.286773
2026-05-01,TGT,0.070071,0.234482,0.963191
2026-05-01,DIS,0.067523,-0.08617,-0.27646
2026-05-01,SBUX,0.171072,0.15914,1.061606
2026-05-01,TSLA,0.025075,-0.091982,-0.461563
2026-05-04,NKE,-0.024893,-0.302412,-1.521032
2026-05-04,TGT,0.060689,0.178302,0.746126
2026-05-04,DIS,0.048649,-0.030062,-0.136258
2026-05-04,SBUX,0.161558,0.152219,1.045532
2026-05-04,TSLA,0.088522,-0.069463,-0.134368
2026-05-05,NKE,-0.02203,-0.288597,-1.563461
2026-05-05,TGT,0.054087,0.169184,0.832092
2026-05-05,DIS,0.043623,-0.035886,-0.134989
2026-05-05,SBUX,0.107196,0.135176,0.917793
2026-05-05,TSLA,0.103594,-0.077235,-0.051435
2026-05-06,NKE,0.027875,-0.312189,-1.741592
2026-05-06,TGT,0.089274,0.152318,0.705429
2026-05-06,DIS,0.12821,0.009435,0.221767
2026-05-06,SBUX,0.11795,0.104738,0.617466
2026-05-06,TSLA,0.150238,-0.017931,0.19693
2026-05-07,NKE,0.029678,-0.287005,-1.754848
2026-05-07,TGT,0.022417,0.147138,0.409271
2026-05-07,DIS,0.095584,0.035153,0.212478
2026-05-07,SBUX,0.072523,0.092249,0.385025
2026-05-07,TSLA,0.19968,0.036706,0.748074
2026-05-08,NKE,0.003182,-0.304866,-1.667783
2026-05-08,TGT,0.009836,0.094971,0.201242
2026-05-08,DIS,0.082473,-0.006256,0.069789
2026-05-08,SBUX,0.082645,0.061907,0.383992
2026-05-08,TSLA,0.239367,0.041935,1.012759
2026-05-11,NKE,-0.005396,-0.316274,-1.502974
2026-05-11,TGT,-0.028304,0.035705,-0.158216
2026-05-11,DIS,0.055965,-0.022496,-0.051687
2026-05-11,SBUX,0.094617,0.075186,0.505447
2026-05-11,TSLA,0.275254,0.066328,1.20743
2026-05-12,NKE,-0.013051,-0.323745,-1.656298
2026-05-12,TGT,0.033254,0.086627,0.309155
2026-05-12,DIS,0.049219,-0.034558,-0.143692
2026-05-12,SBUX,0.093352,0.099839,0.624671
2026-05-12,TSLA,0.229925,0.019379,0.866164
2026-05-13,NKE,-0.042081,-0.316423,-1.631549
2026-05-13,TGT,0.025916,0.069957,0.282394
2026-05-13,DIS,0.022517,-0.029782,-0.152046
2026-05-13,SBUX,0.075962,0.0758,0.517811
2026-05-13,TSLA,0.222597,0.039695,0.98339
2026-05-14,NKE,-0.075264,-0.30771,-1.735405
2026-05-14,TGT,0.011173,0.102519,0.335553
2026-05-14,DIS,0.023098,0.029693,0.081613
2026-05-14,SBUX,0.081961,0.106719,0.648231
2026-05-14,TSLA,0.131012,0.062891,0.670008
2026-05-15,NKE,-0.083589,-0.332204,-1.635489
2026-05-15,TGT,-0.00986,0.059851,0.258439
2026-05-15,DIS,-0.011357,-0.025889,-0.096277
2026-05-15,SBUX,0.092376,0.145603,1.022819
2026-05-15,TSLA,0.085729,0.011499,0.450508
2026-05-18,NKE,-0.075168,-0.338899,-1.655469
2026-05-18,TGT,-0.025611,0.068868,0.357234
2026-05-18,DIS,-0.022392,-0.014511,0.00445
2026-05-18,SBUX,0.072248,0.124068,1.030851
2026-05-18,TSLA,0.023389,-0.001559,0.262933
2026-05-19,NKE,-0.087349,-0.348565,-1.617538
2026-05-19,TGT,-0.013349,0.110515,0.572047
2026-05-19,DIS,-0.037723,-0.044911,-0.166469
2026-05-19,SBUX,0.08139,0.117413,0.989516
2026-05-19,TSLA,0.02958,-0.017529,0.222444
2026-05-20,NKE,-0.047424,-0.322004,-1.621801
2026-05-20,TGT,-0.06521,0.067662,0.08493
2026-05-20,DIS,-0.002014,-0.018113,-0.018695
2026-05-20,SBUX,0.09534,0.118207,1.05374
2026-05-20,TSLA,0.07981,0.01348,0.501827
2026-05-21,NKE,-0.02824,-0.316749,-1.703286
2026-05-21,TGT,-0.024947,0.091283,0.438866
2026-05-21,DIS,-0.01183,-0.018943,-0.066871
2026-05-21,SBUX,0.052455,0.07437,0.753889
2026-05-21,TSLA,0.078295,0.014642,0.577402
2026-05-22,NKE,-0.002456,-0.287264,-1.622042
2026-05-22,TGT,-0.025992,0.11864,0.34897
2026-05-22,DIS,-0.006271,-0.013504,-0.230547
2026-05-22,SBUX,0.041936,0.094264,0.573469
2026-05-22,TSLA,0.139918,0.065478,0.930151
2026-05-26,NKE,0.005594,-0.294144,-1.60942
2026-05-26,TGT,-0.020462,0.096045,0.327776
2026-05-26,DIS,0.006628,-0.02612,-0.178024
2026-05-26,SBUX,0.033895,0.057035,0.409426
